"ciudad","actividad_industrial","usa_agua_proceso","tratamiento_aguas","costo_mantenimiento_tratamiento","fuente_agua","volumen_consumido_m3","costo_consumo_mensual","numero_empleados"
"Guayaquil","química","no","sí",1158.17,"red municipal",639.4,602.71,74
"Manta","metalmecánica","sí","sí",2391.73,"red municipal",873.7,769.23,89
"Guayaquil","textil","no","no",NA,"pozo y río",719.3,586.96,79
"Loja","plásticos","sí","no",NA,"red municipal y río",871.4,822.92,83
"Quito","procesamiento de alimentos","sí","sí",1823.06,"río",770.5,714.27,88
"Guayaquil","plásticos","sí","sí",2813.44,"pozo",882.2,793.21,67
"Quito","plásticos","sí","no",NA,"red municipal y río",726.1,622.59,73
"Ambato","procesamiento de alimentos","sí","no",NA,"pozo",819.1,776.16,89
"Cuenca","farmacéutica","sí","sí",1108.09,"pozo",870.6,863.06,76
"Cuenca","procesamiento de alimentos","sí","sí",2481.85946667259,"red municipal",2261.57882712933,1677.59065044088,265
"Cuenca","metalmecánica","sí","no",NA,"pozo",856.9,837.44,88
"Manta","textil","no","sí",1843.42,"pozo y río",779.4,529.01,86
"Guayaquil","química","sí","sí",1420.77,"red municipal",909.3,702.98,95
"Ambato","química","sí","no",NA,"red municipal y pozo",1625.59595855311,1746.29716299947,206
"Ambato","procesamiento de alimentos","sí","sí",2090.3,"red municipal",1060.9,940.7,105
"Guayaquil","textil","no","sí",605.27,"red municipal",740,670.28,94
"Guayaquil","farmacéutica","sí","no",NA,"pozo",879.8,771.43,74
"Cuenca","plásticos","sí","no",NA,"red municipal",1067.2,1037.21,90
"Cuenca","procesamiento de alimentos","no","sí",975.89,"red municipal",742,825.46,81
"Ambato","farmacéutica","sí","sí",2020.47,"red municipal y pozo",815,857.69,73
"Loja","farmacéutica","sí","no",NA,"red municipal",984.3,923.88,92
"Manta","farmacéutica","sí","sí",2050.49,"red municipal y pozo",833.9,586.2,72
"Loja","plásticos","sí","no",NA,"red municipal",860.9,865.01,72
"Loja","farmacéutica","sí","sí",1664.25,"red municipal y pozo y río",775.5,871.23,83
"Manta","procesamiento de alimentos","sí","sí",883.2,"pozo y río",860.6,758.8,90
"Cuenca","metalmecánica","sí","no",NA,"red municipal",1085.3,1170.57,100
"Quito","plásticos","sí","sí",877.98,"red municipal",794.9,747.44,86
"Ambato","plásticos","sí","sí",1030.73,"río",851.7,743.6,91
"Cuenca","plásticos","sí","sí",1262.13,"red municipal",949.9,1021.2,89
"Quito","química","sí","sí",1336.89,"pozo y río",742.8,805.3,93
"Guayaquil","química","sí","no",NA,"pozo",765.1,543.54,88
"Cuenca","química","sí","no",NA,"pozo",1003,924.8,104
"Cuenca","farmacéutica","no","sí",1912.88,"río",716.5,673.7,94
"Guayaquil","plásticos","no","sí",2226.14,"red municipal y pozo",729.7,652.85,78
"Manta","textil","no","no",NA,"red municipal y río",631.1,499.6,86
"Quito","procesamiento de alimentos","sí","no",NA,"red municipal y pozo",1287.4,1215.88,80
"Manta","plásticos","sí","sí",709.72,"red municipal",821.8,650.75,91
"Cuenca","metalmecánica","sí","sí",1676.44,"red municipal",908.6,993.56,102
"Manta","farmacéutica","no","sí",1953.53,"pozo",702.4,661.38,81
"Cuenca","textil","sí","sí",2602.17,"red municipal y pozo",814.2,704.19,87
"Quito","química","sí","sí",2694.46,"red municipal y río",1018.8,1012.04,78
"Ambato","procesamiento de alimentos","sí","no",NA,"red municipal",807.2,750.54,83
"Ambato","farmacéutica","sí","sí",1070.67,"red municipal",1077.2,958.97,79
"Quito","procesamiento de alimentos","no","no",NA,"red municipal y río",855.9,875.88,84
"Loja","metalmecánica","sí","no",NA,"río",659.5,576.22,80
"Guayaquil","procesamiento de alimentos","sí","no",NA,"red municipal y pozo",965.4,908.75,100
"Guayaquil","farmacéutica","sí","no",NA,"red municipal",915.2,749.15,80
"Cuenca","metalmecánica","sí","sí",1852.26,"red municipal y río",771.6,711.54,81
"Ambato","química","sí","no",NA,"red municipal",810.8,733.41,92
"Quito","farmacéutica","sí","sí",1293.29,"red municipal",1051,1189.34,80
"Ambato","química","sí","sí",2126.6,"red municipal",867.6,746.31,87
"Manta","procesamiento de alimentos","sí","sí",1823.55,"red municipal",890.4,758.44,91
"Manta","metalmecánica","sí","no",NA,"red municipal",866.1,579.46,95
"Quito","procesamiento de alimentos","sí","sí",1660.4,"pozo",911.3,821.03,91
"Guayaquil","plásticos","no","sí",1396.41,"red municipal y río",742.3,617.93,84
"Cuenca","metalmecánica","no","sí",1123.84,"red municipal y pozo",587.2,555.47,89
"Loja","plásticos","no","no",NA,"red municipal",675.5,592.65,96
"Guayaquil","plásticos","sí","sí",1865.42,"red municipal",971.7,699.43,80
"Loja","metalmecánica","sí","sí",1338.24,"red municipal",991.9,891.92,79
"Ambato","procesamiento de alimentos","sí","sí",2024.21,"red municipal y pozo y río",676.8,615.8,73
"Quito","metalmecánica","sí","sí",1244.35,"pozo",1095.8,1137.5,96
"Cuenca","textil","no","sí",2395.71,"pozo",703.1,649.39,87
"Ambato","farmacéutica","sí","no",NA,"red municipal y río",820.6,802.74,81
"Ambato","procesamiento de alimentos","sí","sí",1738.5,"pozo y río",606.2,666.57,82
"Cuenca","procesamiento de alimentos","sí","sí",1776.22,"red municipal",799.1,718.99,96
"Quito","química","sí","sí",1421.05,"red municipal",850.8,744.45,78
"Ambato","procesamiento de alimentos","sí","no",NA,"pozo",840.5,924.43,82
"Guayaquil","metalmecánica","sí","sí",554.1,"red municipal y pozo y río",846.6,800.01,79
"Manta","farmacéutica","sí","sí",289.11,"pozo",685.6,495.7,77
"Manta","procesamiento de alimentos","sí","no",NA,"red municipal y pozo",828.7,753.58,84
"Guayaquil","textil","sí","no",NA,"red municipal y río",1086,736.58,78
"Quito","textil","sí","sí",1002.25,"red municipal y río",929,847.37,98
"Manta","metalmecánica","sí","sí",1432.65,"pozo",989.8,729.36,95
"Loja","química","sí","no",NA,"red municipal",929.3,850.73,80
"Ambato","metalmecánica","sí","sí",1704.44,"red municipal",1064.9,1029.65,96
"Guayaquil","metalmecánica","sí","sí",1584.67,"red municipal",756.1,589.69,91
"Ambato","textil","sí","sí",1920.8,"red municipal",750.2,820.64,85
"Cuenca","farmacéutica","sí","no",NA,"pozo",785.3,706.89,76
"Manta","química","sí","no",NA,"red municipal",904.7,799.35,74
"Manta","plásticos","sí","no",NA,"pozo",875,661.46,94
"Guayaquil","procesamiento de alimentos","sí","sí",987.99,"red municipal y pozo y río",910.7,804.23,81
"Guayaquil","metalmecánica","sí","sí",1177.55,"río",888.6,842.37,82
"Quito","química","sí","no",NA,"red municipal",1064.2,1213.34,67
"Manta","química","sí","sí",1750.37,"pozo",1082,814.49,80
"Loja","química","sí","no",NA,"red municipal",895.2,972.13,92
"Manta","metalmecánica","sí","sí",2398.33,"pozo",922.1,814.18,85
"Cuenca","metalmecánica","sí","no",NA,"pozo",1824.08881592285,2014.67406172353,252
"Guayaquil","procesamiento de alimentos","sí","sí",2222.11,"río",824,635.58,93
"Cuenca","metalmecánica","sí","no",NA,"red municipal",1070.8,1026.59,85
"Guayaquil","textil","sí","no",NA,"río",948.9,716,104
"Quito","textil","sí","no",NA,"pozo",898.4,1005.63,104
"Ambato","textil","sí","sí",1257.22,"red municipal y río",916.9,927.5,83
"Cuenca","metalmecánica","sí","sí",1729.76404674543,"red municipal y pozo y río",2044.13286743271,1739.9250753535,316
"Manta","plásticos","sí","sí",772.69,"pozo y río",735,550.65,81
"Manta","textil","sí","no",NA,"pozo y río",840.2,747.19,92
"Loja","textil","sí","sí",2223.31,"red municipal y río",1179.4,1212.72,88
"Guayaquil","textil","sí","no",NA,"red municipal",762.3,712.86,78
"Cuenca","metalmecánica","sí","no",NA,"pozo",838.8,747.02,81
"Loja","farmacéutica","sí","no",NA,"río",846.2,837.01,104
"Guayaquil","metalmecánica","sí","no",NA,"red municipal",858.4,808.92,89
"Manta","metalmecánica","no","sí",980.18,"red municipal",780.2,686.88,79
"Loja","química","no","sí",1817.1,"red municipal",516.9,554.86,98
"Manta","procesamiento de alimentos","sí","no",NA,"red municipal",1048.9,725.26,89
"Ambato","procesamiento de alimentos","sí","no",NA,"río",832.2,790.48,91
"Loja","farmacéutica","sí","sí",1474.65,"red municipal y pozo",787.4,826.72,87
"Quito","metalmecánica","sí","no",NA,"red municipal",923.6,1015.21,85
"Guayaquil","metalmecánica","no","no",NA,"red municipal y pozo",763,715.46,89
"Quito","textil","sí","no",NA,"río",860.6,855.37,83
"Loja","plásticos","no","sí",921.26,"pozo",640.5,595.87,87
"Cuenca","procesamiento de alimentos","sí","no",NA,"río",861.6,829.93,88
"Manta","textil","sí","no",NA,"red municipal",808.5,589.42,98
"Guayaquil","plásticos","sí","sí",1843.14,"red municipal y pozo",1032.6,935.37,100
"Cuenca","farmacéutica","sí","no",NA,"río",838.8,924.01,80
"Manta","metalmecánica","no","no",NA,"red municipal",720.2,651.55,85
"Manta","química","sí","sí",1279.13,"pozo y río",837.5,650.96,90
"Guayaquil","procesamiento de alimentos","sí","no",NA,"red municipal",966.9,914.23,79
"Manta","farmacéutica","no","no",NA,"red municipal y río",1705.57590437848,1285.64344433926,215
"Cuenca","farmacéutica","sí","no",NA,"río",995.5,898.79,87
"Cuenca","metalmecánica","sí","no",NA,"pozo",785.9,809.82,79
"Guayaquil","plásticos","sí","no",NA,"pozo",823.9,781.67,102
"Manta","metalmecánica","sí","sí",2136.32,"red municipal",887.6,818.92,86
"Manta","plásticos","sí","sí",1388.11,"río",905,721.91,74
"Cuenca","textil","sí","sí",1727.2,"río",892.4,766.23,102
"Loja","farmacéutica","no","no",NA,"pozo y río",740.5,655.62,100
"Cuenca","química","sí","no",NA,"pozo",877.9,941.55,91
"Guayaquil","metalmecánica","sí","sí",941.59,"pozo",1119.6,1054.96,96
"Manta","metalmecánica","sí","sí",1769.73,"pozo",956.2,818.87,81
"Cuenca","textil","sí","no",NA,"río",866.9,737.49,90
"Manta","procesamiento de alimentos","sí","sí",2397.6,"pozo y río",682.5,475.12,74
"Quito","farmacéutica","sí","no",NA,"río",757.1,830.24,73
"Manta","procesamiento de alimentos","sí","sí",2296.2,"red municipal",978.8,804.77,84
"Ambato","farmacéutica","sí","no",NA,"pozo",949.3,1035.42,90
"Manta","textil","sí","sí",1846.15,"red municipal y pozo",751.6,649.71,81
"Cuenca","farmacéutica","sí","no",NA,"red municipal y pozo",2121.23837416777,1962.25343128731,317
"Quito","metalmecánica","sí","no",NA,"red municipal y pozo",879.6,888.68,90
"Loja","procesamiento de alimentos","sí","no",NA,"pozo y río",800.4,902.81,81
"Ambato","farmacéutica","sí","no",NA,"red municipal y río",845.3,796.02,91
"Ambato","procesamiento de alimentos","sí","sí",2778.99,"red municipal y pozo y río",992.4,884.11,92
"Ambato","metalmecánica","sí","sí",1486.95,"pozo y río",827.4,846.6,78
"Manta","textil","no","sí",2447.13,"río",756.1,609.08,105
"Quito","plásticos","sí","sí",783.04,"red municipal y río",906.2,801.22,85
"Ambato","farmacéutica","sí","sí",2068.39,"red municipal",893.8,933.19,92
"Quito","metalmecánica","sí","sí",1507.64,"red municipal y pozo",645.6,625.37,90
"Loja","plásticos","sí","no",NA,"pozo y río",784.3,867.16,88
"Cuenca","textil","sí","sí",1441.41,"red municipal",760.8,759.9,85
"Loja","procesamiento de alimentos","sí","sí",1458.96,"pozo",903.6,928.77,81
"Ambato","plásticos","no","no",NA,"red municipal",759.3,703.84,91
"Guayaquil","plásticos","no","no",NA,"red municipal",738.5,493.93,66
"Cuenca","metalmecánica","sí","sí",1011.49,"río",1066.4,925.49,98
"Quito","procesamiento de alimentos","sí","no",NA,"red municipal y pozo",1007.7,1108.03,70
"Quito","metalmecánica","no","sí",925.56,"red municipal y pozo",672.9,744.06,79
"Quito","química","no","sí",2199.84,"red municipal y río",711.1,639.05,71
"Loja","textil","sí","sí",779.11,"red municipal",794.5,908.99,71
"Loja","química","sí","sí",1627.96,"red municipal",841.4,788.81,73
"Manta","textil","no","sí",4393.22298891423,"red municipal",2155.86614933051,1737.93725788301,284
"Manta","farmacéutica","sí","sí",1263.47,"red municipal",824.6,779.93,101
"Manta","procesamiento de alimentos","sí","sí",1551.35,"red municipal",764.4,577.18,78
"Guayaquil","química","sí","sí",1008.53,"red municipal",984.4,698.36,79
"Ambato","plásticos","sí","sí",2242.3,"pozo",743.6,840.62,78
"Ambato","textil","sí","no",NA,"red municipal y pozo y río",1001.6,1049.59,77
"Cuenca","textil","sí","sí",72.8,"red municipal y pozo y río",954.3,1087.04,92
"Guayaquil","plásticos","sí","no",NA,"red municipal y pozo",722.3,662.33,85
"Guayaquil","farmacéutica","sí","sí",2120.65,"red municipal y pozo",1193.2,1099.38,82
"Cuenca","farmacéutica","sí","sí",1593.4,"red municipal",856.7,882.42,90
"Quito","plásticos","sí","sí",1911.29,"río",786.2,861.03,63
"Ambato","procesamiento de alimentos","sí","sí",1322.99,"pozo",884.8,786.62,88
"Cuenca","textil","sí","sí",1200.21,"red municipal",822.5,935.37,88
"Ambato","farmacéutica","no","no",NA,"red municipal y pozo",621.5,582.53,70
"Ambato","textil","sí","sí",1451.35,"red municipal",800.5,680.95,90
"Ambato","farmacéutica","no","no",NA,"red municipal y pozo",757.1,658.05,90
"Ambato","procesamiento de alimentos","sí","sí",791.28,"río",653.3,734.56,69
"Ambato","farmacéutica","sí","no",NA,"río",812.3,743.47,87
"Manta","textil","sí","no",NA,"red municipal y pozo",970.3,815.74,94
"Loja","plásticos","no","sí",1955.18,"red municipal y río",777.2,807.02,91
"Loja","farmacéutica","sí","sí",672.52,"red municipal y pozo",773.2,882,100
"Cuenca","procesamiento de alimentos","sí","sí",1147.07,"red municipal y río",838.7,881.23,79
"Quito","procesamiento de alimentos","sí","sí",1180.09,"río",768.2,706.18,74
"Loja","procesamiento de alimentos","sí","sí",2303.05,"red municipal y pozo",816.9,822.17,80
"Guayaquil","textil","sí","no",NA,"río",781,639.24,91
"Cuenca","textil","sí","no",NA,"red municipal y pozo y río",1500.52829878831,1475.55562444851,360
"Ambato","plásticos","sí","no",NA,"río",882.1,868.62,82
"Cuenca","plásticos","sí","sí",1215.77,"red municipal",915,842.21,87
"Ambato","química","sí","no",NA,"red municipal y pozo",782.1,718.74,82
"Guayaquil","plásticos","sí","no",NA,"red municipal y río",977.2,694.93,102
"Loja","textil","sí","sí",1210.71,"pozo y río",689.7,688.91,81
"Guayaquil","química","no","sí",1148.1,"pozo y río",761.7,712.01,79
"Cuenca","farmacéutica","sí","sí",1600.31,"red municipal y pozo",865.7,829.83,91
"Cuenca","química","sí","sí",1284.98,"pozo y río",782.3,832.77,94
"Guayaquil","plásticos","no","no",NA,"pozo y río",865.7,659.72,98
"Quito","química","sí","sí",1253.36,"red municipal y pozo y río",870.3,997.37,69
"Ambato","textil","sí","no",NA,"red municipal y pozo",846.3,726.37,90
"Ambato","metalmecánica","sí","no",NA,"red municipal y río",668.9,695.27,75
"Loja","procesamiento de alimentos","no","sí",1889.38,"red municipal",565.3,641.27,92
"Ambato","química","sí","sí",1598.07,"red municipal y pozo y río",1164,1281.86,84
"Guayaquil","metalmecánica","sí","sí",705.45,"pozo",682.3,531.78,85
"Guayaquil","química","sí","sí",1295.16,"río",785.7,609.83,83
"Ambato","procesamiento de alimentos","sí","no",NA,"río",818.1,703.02,80
"Quito","química","sí","sí",2004.57,"pozo y río",1042.7,935.03,74
"Ambato","textil","sí","sí",1503.31,"red municipal y pozo",743,747.23,85
"Guayaquil","química","sí","sí",1248.66,"red municipal y río",714.3,494.06,87
"Manta","farmacéutica","sí","no",NA,"pozo",714.2,507.4,82
"Ambato","química","no","sí",1172.85,"red municipal",719.7,683.92,89
"Loja","farmacéutica","sí","sí",1840.89,"pozo y río",1051.1,1113.05,95
"Loja","farmacéutica","no","no",NA,"red municipal y pozo",779.9,843.58,73
"Guayaquil","procesamiento de alimentos","no","sí",1463.55,"red municipal y pozo y río",583.7,470.61,88
"Ambato","textil","sí","sí",1455.35,"red municipal",785.1,671.39,107
"Ambato","química","no","no",NA,"pozo",594.7,623.42,75
"Loja","farmacéutica","no","no",NA,"red municipal",815.4,921.17,73
"Quito","plásticos","sí","sí",1501.87,"pozo y río",921.7,893.12,88
"Cuenca","farmacéutica","no","no",NA,"red municipal",792.8,681.87,78
